id,crop,landuse,area,lon,lat
way/335869746,grape,vineyard,12645.195,10.8236691394382,45.4893812890574
way/335869747,grape,vineyard,31680.197,10.8228379501131,45.4918883570594
way/335869748,grape,vineyard,17373.025,10.8172859882567,45.4920368955289
way/345084163,grape,vineyard,800.001,10.7917680784158,45.4750394861193
way/676034865,grape,vineyard,1810.794,10.8225239968318,45.4892465206739
way/676034868,grape,vineyard,1707.376,10.8222663922687,45.4897393788962
way/676034873,grape,vineyard,9543.040,10.8201560693878,45.4912941435463
way/676034883,grape,vineyard,1248.977,10.8206983369059,45.4933016770636
way/676034884,grape,vineyard,6140.115,10.8213347540589,45.4928942527064
way/676034886,grape,vineyard,1614.323,10.8190932615216,45.4931807691116
way/676034893,grape,vineyard,2331.526,10.8178755113033,45.492612775491
way/676034894,grape,vineyard,15920.344,10.8193406793807,45.4922797155023
way/676034963,grape,vineyard,9416.228,10.8100832275627,45.4855386460651
way/676047751,,vineyard,1436.108,10.8195575742274,45.4739699054825
way/676047752,,vineyard,7843.312,10.8166590964989,45.4746820892024
way/676047762,,vineyard,16183.330,10.8145405140195,45.4751255637314
way/676047763,,vineyard,6573.887,10.8142187370491,45.4764865160522
way/676047764,grape,vineyard,9416.345,10.8132445951391,45.4773247360816
way/676047765,grape,vineyard,4445.896,10.8127373539014,45.4801396556263
way/676047766,grape,vineyard,8094.171,10.8154416948268,45.4804891344438
way/676047767,grape,vineyard,7260.164,10.8155383698753,45.4798835155179
way/676047770,grape,vineyard,6017.371,10.8125464774803,45.4811610944445
way/676047793,grape,vineyard,7290.613,10.8113646993944,45.4821830111706
way/676047796,grape,vineyard,4329.813,10.8133553442471,45.480037842804
way/676047797,grape,vineyard,6259.262,10.8140933831171,45.4800157658014
way/676047798,grape,vineyard,3506.201,10.8136954424336,45.4791728839944
way/676047803,grape,vineyard,1818.100,10.8107497284927,45.4792477394678
way/676047806,grape,vineyard,1258.000,10.8067935072343,45.4816666705618
way/676047833,grape,vineyard,5520.311,10.807431625352,45.4794607820453
way/676047834,grape,vineyard,4848.145,10.809027557378,45.4785313550806
way/676047836,grape,vineyard,14012.867,10.812652082631,45.4782110539257
way/676047837,,vineyard,2090.519,10.8113572507951,45.4779446132062
way/676047838,grape,vineyard,1334.513,10.8117036411733,45.4780249908632
way/676047840,,vineyard,3873.458,10.8087061901643,45.4729570117156
way/676047841,,vineyard,4016.165,10.8081627731412,45.4730002923223
way/676047842,,vineyard,12675.131,10.8075980040043,45.4740705236967
way/676047843,,vineyard,4633.727,10.8075294521725,45.4732055242439
way/676047844,,vineyard,5346.599,10.806217064535,45.4723289611775
way/676047845,,vineyard,4061.001,10.8072436092339,45.4722962860454
way/676047846,,vineyard,6638.306,10.8062492029226,45.4731061094281
way/676047847,,vineyard,2326.703,10.8064056895409,45.4742628310983
way/676047848,,vineyard,3296.001,10.8068659492776,45.4746876173085
way/676047849,,vineyard,5012.340,10.8094865538405,45.4745646728861
way/676047850,,vineyard,3653.260,10.808673321458,45.4752006195036
way/676047851,,vineyard,5788.815,10.8094557537964,45.47546173583
way/676047853,,vineyard,5887.513,10.8134652233882,45.4733074893082
way/676047854,,vineyard,1194.427,10.8137882129614,45.472492019837
way/676047855,,vineyard,8820.499,10.8147490193951,45.4725463579725
way/676047857,,vineyard,16225.238,10.8203736206293,45.4729846934769
way/676047858,,vineyard,18612.657,10.8182538818921,45.4728880331893
way/676047859,,vineyard,2362.561,10.8191116427392,45.4738382030703
way/676047860,,vineyard,5928.220,10.8179829452772,45.4739340443017
way/676047871,grape,vineyard,1961.216,10.8196959769444,45.4801395519268
way/676047873,grape,vineyard,6866.059,10.8194893367045,45.4808699615509
way/676047874,grape,vineyard,15966.482,10.8156015545928,45.4792137698592
way/676047876,grape,vineyard,1256.698,10.8178928318755,45.479186391203
way/676047878,,vineyard,4730.678,10.8185107036371,45.4750255159546
way/676047879,,vineyard,6783.203,10.8176517710896,45.4749693066906
way/676047880,,vineyard,3088.817,10.816783584736,45.4755080516365
way/676047881,,vineyard,2268.966,10.8162550925155,45.4755863746921
way/676047883,,vineyard,6207.533,10.8162129482263,45.4768342369787
way/676047884,,vineyard,13232.281,10.8151687726363,45.4761567845951
way/676047885,grape,vineyard,5257.305,10.8150047124864,45.4775058617577
way/676047886,grape,vineyard,9482.167,10.8154368560236,45.478272072875
way/676047887,grape,vineyard,4577.117,10.8168868557271,45.4777781653888
way/676047888,grape,vineyard,9049.898,10.8179892622617,45.4777757646975
way/676047911,grape,vineyard,8911.920,10.8212327830659,45.4905698018173
way/859874949,grape,vineyard,26595.038,10.8726310747275,45.4649653722218
way/999727143,grape,vineyard,13276.564,10.8116646869029,45.4666338808738
way/999727147,grape,vineyard,29776.254,10.8090827357344,45.4646118075806
way/1039251647,grape,vineyard,12064.032,10.792600831897,45.4752401699169
way/1181391699,grape,vineyard,11205.540,10.8719468643903,45.4736417893147
